trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
18,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,0,-49.91500889648897,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.46766642700990924}",20,0,-40.713702652258355,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,0,-56.75948428495546,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,0,5.144602248548191,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.4147829116815814}",20,0,-17.868913280789286,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.39851904108451414}",20,0,-4.367619568611325,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.38289288597511206}",25,12,10.140463274118938,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,15,2.2933968902146113,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.35345468195878016}",20,14,4.213426489860558,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.3395955256449391}",20,0,-40.974273489216046,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.32627979462303947}",20,8,-24.600439298208183,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.3134861808826053}",20,13,3.3440441221468027,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.30119421191220214}",30,16,26.772523116171875,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.2893842179390506}",30,8,-0.09136265626416673,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.27803730045319414}",20,5,-40.916901656290854,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.26713530196585034}",20,13,1.152623203869874,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.2566607769535559}",20,11,14.320888385998773,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.24659696394160643}",20,6,-1.5958920710519684,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.23692775868212176}",20,9,11.72359702837367,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.22763768838381274}",25,11,-19.438300362492686,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.21871188695221475}",20,16,7.072489391512344,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.21013607120076472}",20,2,8.83381172657782,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.20189651799465538}",25,8,25.82939112346097,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.19398004229089189}",20,0,-34.76662378657886,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.18637397603940997}",25,3,-31.78226993021045,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.17906614791149322}",25,15,17.572164978490314,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.17204486382305054}",25,7,7.774381378704698,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.16529888822158653}",25,15,19.049089843759774,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.15881742610692068}",25,0,7.6589832933496185,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.15259010575688386}",25,17,15.401782341329625,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.14660696213035015}",25,0,4.1497928635122285,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.140858420921045}",20,0,-21.191672753896107,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.1353352832366127}",30,14,-3.528452464088737,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.1300287108784259}",30,15,24.707243938210393,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.12493021219858241}",35,0,19.772991436800133,"{0: 33, 1: 1, 2: 0, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.12003162851145673}",25,0,9.34719156367082,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
